paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format,Column,Column2,Column3,Column4
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Cullather N, Gleijeses, Piero., “Secret History: the CIA's Classified Account of Its Operations in Guatemala, 1952-1954.” Stanford University Press; 1999. ",secrethistorytheciasclassifiedaccountofitsoperationsinguatemala19521954,Yes,Ebook,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Forster C., “The Time of Freedom?: Campesino Workers in Guatemala's October Revolution.” University of Pittsburgh Press; 2001",thetimeoffreedomcampesinoworkersinguatemalasoctoberrevolution,Yes,Print Book,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Frederick Douglass Opie, ""Garveyism and Labor Organization on the Caribbean Coast of Guatemala, 1920-1921,""  The Journal of African American History, Vol. 94, No. 2 (Spring,  2009)",garveyismandlabororganizationonthecaribbeancoastofguatemala19201921,Yes,Article,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Jonas S, Rodriguez, Ne?stor. Guatemala-U.S. Migration?: Transforming Regions. First edition. University of Texas Press; 2014.",guatemalausmigrationtransformingregions,Yes,Print Book,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Laura Moye, “The United States Intervention in Guatemala,” International Social Science Review Vol. 73 No. ½ (1998): ",theunitedstatesinterventioninguatemala,Yes,Article,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Loucky J, Moors, Marilyn M., “Maya Diaspora Guatemalan Roots, New American Lives.” Temple University Press; 2000. ",mayadiasporaguatemalanrootsnewamericanlives,Yes,Ebook,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Martínez Salazar, Egla, Mart Nez Salazar, Egla, and Martinez Salazar, Egla., “Global Coloniality of Power in Guatemala : Racism, Genocide, Citizenship.” Lanham, MD: Lexington Books, 2012",globalcolonialityofpoweringuatemalaracismgenocidecitizenship,Yes,Ebook,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Schirmer J., “The Guatemalan Military Project?: A Violence Called Democracy.” University of Pennsylvania Press; 2010.",theguatemalanmilitaryprojectaviolencecalleddemocracy,Yes,Ebook,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Smith TJ, ProQuest, Adams, Abigail E., “After the Coup an Ethnographic Reframing of Guatemala, 1954.” University of Illinois Press; 2011.",afterthecoupanethnographicreframingofguatemala1954,Yes,Ebook,,,,
273,Conservational Tillage in the South American Environment,"Roger Veseth, Effective Conservation Farming Systems, (Moscow, Idaho : Cooperative Extension, University of Idaho ; Pullman, Wash. : Cooperative Extension, Washington State University ; Corvallis, Or. : Cooperative Extension, Oregon State University ; Washington, D.C. : U.S. Dept. of Agriculture, 1986), https://research.libraries.wsu.edu:8443/xmlui/bitstream/handle/2376/4825/pnw_275_198 6_effective_conservation_farming_systems.pdf?sequence=1&isAllowed=y",effectiveconservationfarmingsystems,Yes,Ebook,,,,
273,Conservational Tillage in the South American Environment,"David R. Montgomery, Dirt: The Erosion of Civilizations, With a New Preface, (Berkeley, CA : University of California Press, 2012), https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/reader.action?docID=888631&query=",dirttheerosionofcivilizations,Yes,Ebook,,,,
273,Conservational Tillage in the South American Environment,"R. Lal, D.C. Reicosky, J.D. Hanson, “Evolution of the plow over 10,000 years and the rationale for no-till farming”, Soil & Tillage Research Amsterdam: Elsevier B.V, March 2007, Vol. 93 (1)https://ntserver1.wsulibs.wsu.edu:2061/science/article/pii/S0167198706002522",evolutionoftheplowover10000yearsandtherationalefornotillfarming,Yes,Article,,,,
273,Conservational Tillage in the South American Environment,"Fabricio T Ramos, Eliana FG de Carvalho Dores, Oscarlina L dos Santos Weber, Daniel C Beber, José H Campelo Jr, João C de Souza Maia, “Soil organic matter doubles the cation exchange capacity of tropical soil under no?till farming in Brazil”, Journal of the science of food and agriculture Chichester, UK: John Wiley & Sons, Ltd, Jan 9th, 2018, https://ntserver1.wsulibs.wsu.edu:2118/doi/full/10.1002/jsfa.8881",soilorganicmatterdoublesthecationexchangecapacityoftropicalsoilundernotillfarminginbrazil,Yes,Article,,,,
273,Conservational Tillage in the South American Environment,"Olaf Erenstein, “Smallholder conservation farming in the tropics and sub-tropics: a guide to the development and dissemination of mulching with crop residues and cover crops,” Agriculture, Ecosystems & Environment, November 24, 2003, https://ntserver1.wsulibs.wsu.edu:2061/science/article/pii/S0167880903001506",smallholderconservationfarminginthetropicsandsubtropicsaguidetothedevelopmentanddisseminationofmulchingwithcropresiduesandcovercrops,Yes,Article,,,,
273,Conservational Tillage in the South American Environment,"Victor J Elias, “Government Expenditures on Agriculture and Agricultural Growth in Latin America,” International Food Policy Research Institute (1985): 3-35",governmentexpendituresonagricultureandagriculturalgrowthinlatinamerica,Yes,Print book,,,,
277,Opium Traffic ,"Feige, Chris, and Jeffrey A. Miron. “The Opium Wars, Opium Legalization and Opium Consumption in China.” Applied Economics Letters 15, no. 12 (2008): 911–13. https://doi.org/10.1080/13504850600972295. ",theopiumwarsopiumlegalizationandopiumconsumptioninchina,Yes,Article,,,,
277,Opium Traffic ,"Ghoble, T.R. ""THE OPIUM WAR & CHINA- INDIA MISUNDERSTANDING."" Proceedings of the Indian History Congress58 (1997): 808-18. Accessed May 4, 2021. http://www.jstor.org/stable/44144026.",theopiumwarchinaindiamisunderstanding,Yes,Article,,,,
277,Opium Traffic ,"Grace, Richard J. Opium and Empire: The Lives and Careers of William Jardine and James Matheson. Montréal, CA: McGill-Queen's University Press, 2014.",opiumandempirethelivesandcareersofwilliamjardineandjamesmatheson,Yes,Ebook,,,,
277,Opium Traffic ,"Newsinger, John. “Britain's Opium Wars.” Monthly Review 49, no. 5 (1997): 35. https://doi.org/10.14452/mr-049-05-1997-09_5. ",britainsopiumwars,Yes,Article,,,,
277,Opium Traffic ,"Petty, Ross D. “Pain-Killer: A 19th Century Global Patent Medicine and the Beginnings of Modern Brand Marketing.” Journal of Macromarketing 39, no. 3 (2019): 287–303. https://doi.org/10.1177/0276146719865770. ",painkillera19thcenturyglobalpatentmedicineandthebeginningsofmodernbrandmarketing,Yes,Article,,,,
277,Opium Traffic ,"Newsinger, John. “Britain's Opium Wars.” Monthly Review 49, no. 5 (1997): 35. https://doi.org/10.14452/mr-049-05-1997-09_5. ",britainsopiumwars,Yes,Article,,,,
277,Opium Traffic ,"“Royal Commission on Opium Trade.” BMJ 2, no. 1707 (1893): 637–38. https://doi.org/10.1136/bmj.2.1707.637-a.",royalcommissiononopiumtrade,Yes,Article,,,,
281,The Xinjiang Region,"S. Frederick Star, Xinjiang?: China's Muslim borderland, 2015",xinjiangchinasmuslimborderland,Yes,Ebook,,,,
281,The Xinjiang Region,"Tobin, David. “A ‘Struggle of Life or Death’: Han and Uyghur Insecurities on China's North-West Frontier.” The China Quarterly, vol. 242, 2019",astruggleoflifeordeathhananduyghurinsecuritiesonchinasnorthwestfrontier,Yes,Article,,,,
281,The Xinjiang Region,"Hasmath, Reza. “What Explains the Rise of Majority-Minority Tensions and Conflict in Xinjiang?” Central Asian Survey 38, no. 1 (2019): 46–60",whatexplainstheriseofmajorityminoritytensionsandconflictinxinjiang,Yes,Article,,,,
281,The Xinjiang Region,"Millward, James A. “Four Recent Books on Xinjiang and Uyghur History.” Harvard Journal of Asiatic Studies 78, no. 2 (2018): 515–46",fourrecentbooksonxinjianganduyghurhistory,Yes,Article,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Brady McCollough, J. ""SPORTS; NCAA Backs Compensation Plan for NIL; Athletes would Benefit from Changes, but there would be a Number of 'Guardrails.'."" Los Angeles Times, Apr 30, 2020 https://ntserver1.wsulibs.wsu.edu:2152/newspapers/sports-ncaa-backs-compensation-plan-nil-athletes/docview/2396087020/se-2?accountid=14902",sportsncaabackscompensationplanfornilathleteswouldbenefitfromchangesbuttherewouldbeanumberofguardrails,Yes,Newspaper Article,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Brian Porto. The Supreme Court and the NCAA. Ann Arbor: University of Michigan Press, 2012. https://doi.org/10.3998/mpub.3676883.",thesupremecourtandthencaa,Yes,Ebook,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Ronald A. Smith. Pay for Play. Baltimore: University of Illinois Press, 2010. https://doi.org/10.5406/j.ctt1xckxq",payforplay,Yes,Ebook,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"McCarthy, Claudine. “Part 2: Gain Insight into Name, Image, and Likeness Opportunities for Your Student?athletes.” College Athletics and the Law 17, no. 7 (2020): 1–5. https://doi.org/10.1002/catl.30781",part2gaininsightintonameimageandlikenessopportunitiesforyourstudentathletes,Yes,Article,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Bayard, David G. “AFTER FURTHER REVIEW: HOW THE N.C.A.A.'S DIVISION I SHOULD IMPLEMENT NAME, IMAGE, AND LIKENESS RIGHTS TO SAVE THEMSELVES AND BEST PRESERVE THE INTEGRITY OF COLLEGE ATHLETICS.” Southern University Law Review 47, no. 2 (2020): 229.",afterfurtherreviewhowthencaasdivisionishouldimplementnameimageandlikenessrightstosavethemselvesandbestpreservetheintegrityofcollegeathletics,Yes,Article,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Fleisher, Arthur A., Goff, Brian L, and Tollison, Robert D. The National Collegiate Athletic Association?: a Study in Cartel Behavior. Chicago, Ill.: University of Chicago Press, 1992.",thenationalcollegiateathleticassociationastudyincartelbehavior,Yes,Print Book,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Walter Byers, and Charles Hammer. Unsportsmanlike Conduct. University of Michigan Press, 2014. https://doi.org/10.3998/mpub.14486 ",unsportsmanlikeconduct,Yes,Ebook,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Dudley, William L. The Proper Control of Athletics [by] William L. Dudley ... Paper Presented at the 7th Annual Convention of the National Collegiate Athletic Association, New York, December 27, 1912. No place, unknown, or undetermined, 1913.",thepropercontrolofathletics,Yes,Ebook,,,,
283,The Challenges of NCAA Controlled Student-Athletes,"Nam, Benjamin. “Conflicts among stakeholders regarding the new academic system in the Korea University Sport Federation”, International Journal of Sport Policy and Politics Vol. 10, May 21st, 2018. https://doi.org/10.1080/19406940.2018.1470997",conflictsamongstakeholdersregardingthenewacademicsysteminthekoreauniversitysportfederation,Yes,Article,,,,
285,Cotton is Capitalism,"Beckert, Sven. Empire of Cotton?: a Global History. New York: Alfred A. Knopf, 2015.",empireofcottonaglobalhistory,Yes,Print Book,,,,
285,Cotton is Capitalism,"Ray, Indrajit. ""Identifying the Woes of the Cotton Textile Industry in Bengal: Tales of the Nineteenth Century."" The Economic History Review, New Series, 62, no. 4 (2009): 857-92.",identifyingthewoesofthecottontextileindustryinbengaltalesofthenineteenthcentury,Yes,Article,,,,
285,Cotton is Capitalism,"Trivedi, Lisa N.. 2007. Clothing Gandhi's Nation : Homespun and Modern India. Bloomington: Indiana University Press. Accessed May 1, 2021. ProQuest Ebook Central.",clothinggandhisnationhomespunandmodernindia,Yes,Ebook,,,,
287,Global Response Health Crises from the Early 20th Century to Covid-19,"Rushton, Simon. “Security and public health: pandemics and politics in the contemporary world.” Cambridge, UK ; Medford, MA : Polity Press, 2019.",securityandpublichealthpandemicsandpoliticsinthecontemporaryworld,Yes,Print Book,,,,
287,Global Response Health Crises from the Early 20th Century to Covid-19,"Pitlik, Silvio Daniel. “COVID-19 Compared to Other Pandemic Diseases.” Rambam Maimonides Med J. 2020 Jul 31, 2020.",covid19comparedtootherpandemicdiseases,Yes,Article,,,,
287,Global Response Health Crises from the Early 20th Century to Covid-19,"Joseph V. Pergolizzi et al. “Four Pandemics: lessons learned, lessons lost.” Signa Vitae, 2021.",fourpandemicslessonslearnedlessonslost,Yes,Article,,,,
287,Global Response Health Crises from the Early 20th Century to Covid-19,"Tappero, Jordan W, and Robert V Tauxe. “Lessons learned during public health response to cholera epidemic in Haiti and the Dominican Republic.” Emerging infectious diseases vol. 17,11 (2011): 2087-93. doi:10.3201/eid1711.110827",lessonslearnedduringpublichealthresponsetocholeraepidemicinhaitiandthedominicanrepublic,Yes,Article,,,,
287,Global Response Health Crises from the Early 20th Century to Covid-19,"Fitter, David L et al. "" Applying a New Framework for Public Health Systems Recovery following Emergencies and Disasters: The Example of Haiti following a Major Earthquake and Cholera Outbreak"", The American Journal of Tropical Medicine and Hygiene 97, 4_Suppl (2017): 4-11, accessed May 2, 2021, https://doi.org/10.4269/ajtmh.16-0862",applyinganewframeworkforpublichealthsystemsrecoveryfollowingemergenciesanddisasterstheexampleofhaitifollowingamajorearthquakeandcholeraoutbreak,Yes,Article,,,,
289,Plagued,"Cohn, Jr., Samuel K. ""The Black Death: End of a Paradigm."" The American Historical Review 107, no. 3 (2002): 703-38. Accessed February 18, 2021. doi:10.1086/532493.",theblackdeathendofaparadigm,Yes,Article,,,,
289,Plagued,"Edmunds, R. David. ""Native Americans, New Voices: American Indian History”, 1895-1995."" The American Historical Review 100, no. 3 (1995): 717-40. Accessed February 18, 2021. doi:10.2307/2168602.",nativeamericansnewvoicesamericanindianhistory18951995,Yes,Article,,,,
289,Plagued,"Gass, Henry. For Native Americans, Coronavirus Looks Heartbreakingly Familiar. The Christian Science Monitor, Apr 30, 2020. https://ntserver1.wsulibs.wsu.edu:2152/newspapers/native-americans-coronavirus-looks/docview/2396367977/se-2?accountid=14902.",fornativeamericanscoronaviruslooksheartbreakinglyfamiliar,Yes,Newspaper Article,,,,
289,Plagued,"Treuer, David. The Heartbeat of Wounded Knee: Native America from 1890 to the Present. New York: Riverhead Books, 2019. https://searchit.libraries.wsu.edu/permalink/f/1f9o8g7/CP71293458880001451 ",theheartbeatofwoundedkneenativeamericafrom1890tothepresent,Yes,Print Book,,,,
289,Plagued,"Wickham, Chris. Medieval Europe. New Haven: Yale University Press, 2016. https://searchit.libraries.wsu.edu/permalink/f/1a4huoh/CP71250535540001451",medievaleurope,Yes,Print Book,,,,
291,Suicide Trends,"Matthew Lang, ""Firearm Background Checks and Suicide."" The Economic Journal 123, no. 573  (Oxford University Press: Royal Economic Society, 2013), 1085-099, http://www.jstor.org/stable/42919269 ",firearmbackgroundchecksandsuicide,Yes,Article,,,,
291,Suicide Trends,"Hayward, Linda, Stephen R. Zubrick, and Sven Silburn. ""Blood Alcohol Levels in Suicide Cases."" Journal of Epidemiology and Community Health (1979-) 46, no. 3 (1992): 256-60. Accessed April 28, 2021. http://www.jstor.org/stable/25567312 ",bloodalcohollevelsinsuicidecases,Yes,Article,,,,
291,Suicide Trends,"Blood, R. Warwick, Jane Pirkis, and Catherine Francis. ""News and Social Policy: Reporting of Suicide and Mental Illness."" Agenda: A Journal of Policy Analysis and Reform 11, no. 3 (2004): 273-87. Accessed February 9, 2021. http://www.jstor.org/stable/43199740",newsandsocialpolicyreportingofsuicideandmentalillness,Yes,Article,,,,
293,China’s Impact on the Global Drug Trade,"Bello, David Anthony. Opium and the Limits of Empire: Drug Prohibition in the Chinese Interior, 1729-1850. Cambridge, Mass: Harvard University Asia Center, 2005.",opiumandthelimitsofempiredrugprohibitioninthechineseinterior17291850,Yes,Print Book,,,,
293,China’s Impact on the Global Drug Trade,"Dikötter, Frank, Lars Laamann, and Zhou Xun. “NARCOTIC CULTURE: A Social History of Drug Consumption in China.” The British Journal of Criminology 42, no. 2 (2002): 317–36. https://doi.org/http://www.jstor.org/stable/23638784.",narcoticcultureasocialhistoryofdrugconsumptioninchina,Yes,Article,,,,
293,China’s Impact on the Global Drug Trade,"Faunce, Kenneth V. Heavy Traffic: the Global Drug Trade in Historical Perspective. Oxford University Press, 2021.",heavytraffictheglobaldrugtradeinhistoricalperspective,Yes,Print Book,,,,
293,China’s Impact on the Global Drug Trade,"Shapiro, Jacob L. “The Third Opium War?: Understanding China Through History.” Horizons: Journal of International Relations and Sustainable Development, no. 13 (2019): 52–65. https:// doi.org/10.2307/48573769.",thethirdopiumwarunderstandingchinathroughhistory,Yes,Article,,,,
293,China’s Impact on the Global Drug Trade,"Zheng, Yangwen. The Social Life of Opium in China. Cambridge, UK?; New York: Cambridge University Press, 2005.",thesociallifeofopiuminchina,Yes,Print Book,,,,
295,Imperialism Created West African Child Labor,"Barrie, L. A. """"African Sketches"": AFRICA AND THE INDUSTRIAL REVOLUTION."" The Skanner (1975-1988), Jun 29, 1978. https://ntserver1.wsulibs.wsu.edu:2152/newspapers/african-sketches-africa-industrial-revolution/docview/370544923/se-2?accountid=14902.",africansketchesafricaandtheindustrialrevolution,Yes,Newspaper Article,,,,
295,Imperialism Created West African Child Labor,"Canagarajah, Sudharshan, and Helena Skyt Nielsen. ""Child Labor in Africa: A Comparative Study."" The Annals of the American Academy of Political and Social Science 575 (2001): 71-91. Accessed April 26, 2021. http://www.jstor.org/stable/1049181.",childlaborinafricaacomparativestudy,Yes,Article,,,,
295,Imperialism Created West African Child Labor,"Kielland, Anne., and Tovo, Maurizia C. Children at Work: Child Labor Practices in Africa. Boulder, Colo.: Lynne Rienner Publishers, 2006. ",childrenatworkchildlaborpracticesinafrica,Yes,Print Book,,,,
295,Imperialism Created West African Child Labor,"Whoriskey, Peter. ""On Valentine's Day, a push to keep companies from making chocolate with cocoa grown with child labor."" Washington Post, February 14, 2020, NA. Gale In Context: Opposing Viewpoints (accessed January 29, 2021). https://link.gale.com/apps/doc/A613892936/OVIC?u=pull21986&sid=OVIC&xid=9de2f5e1",onvalentinesdayapushtokeepcompaniesfrommakingchocolatewithcocoagrownwithchildlabor,Yes,Newspaper Article,,,,
297,An Analysis of The Haitian Revolution: The Impact of Silence,"Crystal Nicole Eddins. “Runaways, Repertoires, and Repression.” Journal of Haitian Studies 25, no. 1 (2019): 4–38. https://doi.org/10.1353/jhs.2019.0000.",runawaysrepertoiresandrepression,Yes,Article,,,,
297,An Analysis of The Haitian Revolution: The Impact of Silence,"Reinhardt, Thomas. ""200 Years of Forgetting: Hushing up the Haitian Revolution."" Journal of Black Studies 35, no. 4 (2005): 246-61. http://www.jstor.org/stable/40027220.",200yearsofforgettinghushingupthehaitianrevolution,Yes,Article,,,,
297,An Analysis of The Haitian Revolution: The Impact of Silence,"Matthew J. Clavin. Toussaint Louverture and the American Civil War. Philadelphia: University of Pennsylvania Press, Inc, 2011. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_askewsholts_vlebooks_97808122 01611",toussaintlouvertureandtheamericancivilwar,Yes,Ebook,,,,
297,An Analysis of The Haitian Revolution: The Impact of Silence,"Scott, Rebecca J. “Paper Thin: Freedom and Re-Enslavement in the Diaspora of the Haitian Revolution.” Law and History Review 29, no. 4 (2011): 1061–87. https://doi.org/10.1017/S0738248011000538.",paperthinfreedomandreenslavementinthediasporaofthehaitianrevolution,Yes,Article,,,,
297,An Analysis of The Haitian Revolution: The Impact of Silence,"Salt, Karen. Unfinished Revolution?: Haiti, Black Sovereignty and Power in the Nineteenth-Century Atlantic World. Liverpool: Liverpool University Press, 2018.",unfinishedrevolutionhaitiblacksovereigntyandpowerinthenineteenthcenturyatlanticworld,Yes,Print Book,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Walter, Russell Mead. ""America's Immigration Anxieties, then and Now."" Wall Street Journal, Aug 09, 2017, Europe, https://search.proquest.com/newspapers/americas-immigration-anxieties-then-now/docvie w/1927078197/se-2?accountid=14902 (accessed April 3, 2021).",americasimmigrationanxietiesthenandnow,Yes,Newspaper Article,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Ritter, Luke. Inventing America's First Immigration Crisis: Political Nativism in the Antebellum West. NEW YORK: Fordham University Press, 2021. Accessed April 4, 2021. doi:10.2307/j.ctv119907b.",inventingamericasfirstimmigrationcrisispoliticalnativismintheantebellumwest,Yes,Ebook,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Kansas, Sidney, B. 1886. U.S. Immigration; Exclusion and Deportation, and Citizenship of the United States of America. New York (State): M. Bender, 1941, 1941.",usimmigrationexclusionanddeportationandcitizenshipoftheunitedstatesofamerica,Yes,Print Book,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Massey, Douglas S. “America's Immigration Policy Fiasco: Learning from Past Mistakes.” Daedalus 142, no. 3 (2013): 5–15. https://doi.org/10.1162/daed_a_00215.",americasimmigrationpolicyfiascolearningfrompastmistakes,Yes,Article,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"PROVINE, DORIS MARIE. “Institutional Racism in Enforcing Immigration Law.” Norteamérica: Revista Académica Del CISAN-UNAM 8 (2013 Special Issue 2013): 31–53. doi:10.1016/S1870-3550(13)71782-8.",institutionalracisminenforcingimmigrationlaw,Yes,Article,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Reinecke, Christiane. “Governing Aliens in Times of Upheaval: Immigration Control and Modern State Practice in Early Twentieth-Century Britain, Compared with Prussia.” International Review of Social History 54, no. 1 (2009): 39–65. doi:10.1017/S0020859009000029.",governingaliensintimesofupheavalimmigrationcontrolandmodernstatepracticeinearlytwentiethcenturybritaincomparedwithprussia,Yes,Article,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Sampson, Robyn, and Grant Mitchell. “Global Trends in Immigration Detention and Alternatives to Detention: Practical, Political and Symbolic Rationales.” Journal on Migration and Human Security 1, no. 3 (September 2013): 97–121. https://doi.org/10.1177/233150241300100302.",globaltrendsinimmigrationdetentionandalternativestodetentionpracticalpoliticalandsymbolicrationales,Yes,Article,,,,
299,The Effects of Religion and Racism on Immigration in the U.S,"Hall, Prescott F. ""The Recent History of Immigration and Immigration Restriction."" Journal of Political Economy 21, no. 8 (1913): 735-51. Accessed April 4, 2021. http://www.jstor.org/stable/1822504.",therecenthistoryofimmigrationandimmigrationrestriction,Yes,Article,,,,
301,The influence of second-wave feminist movement on status of women in Britain,"Gayle Graham Yates. What Women Want : the Ideas of the Movement. (Cambridge, Mass.: Harvard University Press, 1975), 57.",whatwomenwanttheideasofthemovement,Yes,Print Book,,,,
301,The influence of second-wave feminist movement on status of women in Britain,"Joni Lovenduski. Women and European Politics : Contemporary Feminism and Public Policy. (Amherst: University of Massachusetts Press, 1986), 102.",womenandeuropeanpoliticscontemporaryfeminismandpublicpolicy,Yes,Print Book,,,,
303,Healthcare Within China and Canada,"French, Paul, and Crabbe, Matthew. “Fat China: How expanding waistlines are changing a nation.” London: Anthem Press, (2010).",fatchinahowexpandingwaistlinesarechanginganation,Yes,Print Book,,,,
303,Healthcare Within China and Canada,"Hamed, Abdula, “The problems of China's health care system reasons for this development and improvement suggestions.” Hamburg: Diplomica Verlag, (2010).",theproblemsofchinashealthcaresystemreasonsforthisdevelopmentandimprovementsuggestions,Yes,Ebook,,,,
303,Healthcare Within China and Canada,"Clarke, Richard L., “China's healthcare dilemma: With china on its way to becoming a global business power, its healthcare managers need to ground their entrepreneurial spirit in business basics.” Healthcare Financial Management 59, no. 5., (2005).",chinashealthcaredilemmawithchinaonitswaytobecomingaglobalbusinesspoweritshealthcaremanagersneedtogroundtheirentrepreneurialspiritinbusinessbasics,Yes,Article,,,,
303,Healthcare Within China and Canada,"Montague, Terrence J.,“Patients First Closing the Health Care Gap in Canada.” written by Mississauga, Ont Wiley, (1945).",patientsfirstclosingthehealthcaregapincanada,Yes,Ebook,,,,
303,Healthcare Within China and Canada,"Scallan, Eilish, Lancaster, Kari, and Kouyoumdjian, Fiona. “The “problem” of health: An analysis of health care provision in Canada’s federal prisons.” (1997).",theproblemofhealthananalysisofhealthcareprovisionincanadasfederalprisons,Yes,Article,,,,
303,Healthcare Within China and Canada,"Flood, Colleen M., Roach, Kent, Sossin, Lorne, and Access to Care, Access to Justice Conference. “Access to justice: the legal debate over private health insurance in Canada.” Toronto, [Ontario]; Buffalo, [New York]; London, [England]: University of Toronto Press, (2005).",accesstojusticethelegaldebateoverprivatehealthinsuranceincanada,Yes,Ebook,,,,
307,The Fight for Abortion Rights in Poland,"David, Henry P, and Joanna Skilogianis. From Abortion to Contraception: A Resource to Public Policies and Reproductive Behavior in Central and Eastern Europe from 1917 to the Present. Connecticut: Greenwood Press, 1999.",fromabortiontocontraceptionaresourcetopublicpoliciesandreproductivebehaviorincentralandeasterneuropefrom1917tothepresent,Yes,Print Book,,,,
307,The Fight for Abortion Rights in Poland,"Jelen, Ted G., and Clyde Wilcox. ""Attitudes toward Abortion in Poland and the United States."" Social Science Quarterly 78, no. 4 (1997): 907-21.",attitudestowardabortioninpolandandtheunitedstates,Yes,Article,,,,
307,The Fight for Abortion Rights in Poland,"Ramet, Sabrina P. The Catholic Church in Polish History: From 966 to the Present. New York: Palgrave Macmillan US, 2017.",thecatholicchurchinpolishhistoryfrom966tothepresent,Yes,Print Book,,,,
307,The Fight for Abortion Rights in Poland,"Szelewa, Dorota. “Killing Unborn Children? The Catholic Church and Abortion Law in Poland Since 1989.” Social & Legal Studies 25, no. 6 (2016): 741–64. https://doi.org/10.1177/0964663916668247.",killingunbornchildrenthecatholicchurchandabortionlawinpolandsince1989,Yes,Article,,,,
309,The Fight Against Racial Inequality in America,"Benjamin Chavis , “Toxic Wastes and Race in the United States: A National Report on the Racial and Socio-Economic Characteristics of Communities With Hazardous Waste Sites” (United Church of Christ , 1987).",toxicwastesandraceintheunitedstatesanationalreportontheracialandsocioeconomiccharacteristicsofcommunitieswithhazardouswastesites,Yes,Print Book,,,,
309,The Fight Against Racial Inequality in America,"Bailey, D'Army. ""In the Aftermath of Electing Our First Black President."" Human Rights 37, no. 4 (2010): 9-21. Accessed April 30, 2021. http://www.jstor.org/stable/23032404.",intheaftermathofelectingourfirstblackpresident,Yes,Article,,,,
309,The Fight Against Racial Inequality in America,"The Federal Fair Housing Requirements: Title VIII of the 1968 Civil Rights Act. Duke Law Journal 1969, no. 4 (1969): 733-71. Accessed April 30, 2021. doi:10.2307/1371566.",thefederalfairhousingrequirementstitleviiiofthe1968civilrightsact,Yes,Article,,,,
309,The Fight Against Racial Inequality in America,"Franklin, V. P. ""Introduction: Brown v. Board of Education: Fifty Years of Educational Change in the United States."" The Journal of African American History 90, no. 1/2 (2005): 1-8. Accessed April 30, 2021. http://www.jstor.org/stable/20063972.",introductionbrownvboardofeducationfiftyyearsofeducationalchangeintheunitedstates,Yes,Article,,,,
309,The Fight Against Racial Inequality in America,"Charles “Chip” P. Linscott. ""Introduction: #BlackLivesMatter and the Mediatic Lives of a Movement."" Black Camera 8, no. 2 (2017): 75-80. Accessed April 30, 2021. doi:10.2979/blackcamera.8.2.04.",introductionblacklivesmatterandthemediaticlivesofamovement,Yes,Article,,,,
309,The Fight Against Racial Inequality in America,"Schuit, Sophie, and Jon C. Rogowski. ""Race, Representation, and the Voting Rights Act."" American Journal of Political Science 61, no. 3 (2017): 513-26. Accessed April 30, 2021. http://www.jstor.org/stable/26379507.",racerepresentationandthevotingrightsact,Yes,Article,,,,
311,Tensions Between the Split Nation: The Korean War and its Effects,"Fifield, Anna. 2017. Why does North Korea Hate the United States? Let's Go Back to the Korean War.: North Korea Tells its People Terrible Things about what the American Forces did during the Korean War. and it's Not all Wrong. Washington: WP Company LLC d/b/a The Washington Post. https://search.proquest.com/blogs-podcasts-websites/why-does-north-korea-hate-united- states-lets-go/docview/1899654706/se-2?accountid=14902.",whydoesnorthkoreahatetheunitedstatesletsgobacktothekoreanwarnorthkoreatellsitspeopleterriblethingsaboutwhattheamericanforcesdidduringthekoreanwaranditsnotallwrong,Yes,Newspaper Article,,,,
311,Tensions Between the Split Nation: The Korean War and its Effects,"Kim, Jinwung., and ProQuest. A History of Korea from 'land of the Morning Calm' to States in Conflict. Bloomington, Ind: Indiana University Press, 2012.",ahistoryofkoreafromlandofthemorningcalmtostatesinconflict,Yes,Ebook,,,,
